candidat_id,offre_id,titre,proxy_relevance,score_sem,score_hybride,taux_match,verdict_recrutement,rank_pgvector,rank_graph,rank_shift,relevance,binary_relevance,score_hybride_optuna,rank_optuna,top10_optuna
PPPNR2510130047555,OFFRE_009200_9ae76148861a,Directeur Bureau Direct,0.2227,0.5117,0.2206,0.0,hors_cible_actuel,3,6,-3,0.2227,0,0.33850591303929267,5,True
PPPNR2510130047555,OFFRE_010408_2230bfe76551,Responsable Régional des Ventes pour la Zone I (H/F),0.2636,0.5071,0.2194,0.0,hors_cible_actuel,4,7,-3,0.2636,0,0.3354628659414214,6,True
PPPNR2510130047555,OFFRE_010822_850c71a69fac,Responsable Marketing (H/F),0.2227,0.488,0.2143,0.0,hors_cible_actuel,5,8,-3,0.2227,0,0.3228276051654775,7,True
PPPNR2510130047555,OFFRE_008550_efb073343211,Responsable Commercial - Douala - Cameroun,0.3045,0.4817,0.2127,0.0,hors_cible_actuel,6,9,-3,0.3045,0,0.3186599537053494,8,True
PPPNR2510130047555,OFFRE_010423_4e44f3758f04,Responsable Marketing (H/F),0.2227,0.4817,0.2127,0.0,hors_cible_actuel,7,10,-3,0.2227,0,0.3186599537053494,9,True
PPPNR2505260029765,OFFRE_013147_cc53dcc55f35,Ingenieur Electrotechnicien,0.5125,0.5188,0.6666,1.0,postuler_avec_plan_de_montee_en_competence,7,1,6,0.5125,1,0.6816708122835498,1,True
PPPNR2505260029765,OFFRE_012132_44b6284e3adc,Electrotechnicien,0.5125,0.4817,0.6536,1.0,postuler_avec_plan_de_montee_en_competence,15,2,13,0.5125,1,0.6571279759072398,2,True
PPPNR2505260029765,OFFRE_003846_53cbc29f4408,ÉLECTROTECHNICIENS,0.475,0.5493,0.4673,0.0,vivier_a_developper,5,3,2,0.475,0,0.3633795154045016,3,True
PPPNR2505260029765,OFFRE_002918_8b6791a98fce,TECHNICIEN MAINTENANCE INDUSTRIELLE,0.4,0.5237,0.4583,0.0,vivier_a_developper,6,4,2,0.4,0,0.34644429677287003,4,True
PPPNR2505260029765,OFFRE_007874_cb5a55166096,Technicien De Maintenance/Polyvalent Paysage Nord Cameroun,0.4,0.4988,0.4496,0.0,vivier_a_developper,9,5,4,0.4,0,0.32997215052569706,5,True
PPPNR2505260029765,OFFRE_009272_5924fe06a9e0,Technicien d'Énergies Renouvelables,0.425,0.4897,0.4464,0.0,vivier_a_developper,13,6,7,0.425,0,0.3239522095277343,6,True
PPPNR2505260029765,OFFRE_010828_ecbe4a00f97a,TECHNICIEN QUOTIDIEN - UPSTREAM,0.425,0.4707,0.4397,0.0,vivier_a_developper,18,7,11,0.425,0,0.3113831019495702,7,True
PPPNR2505260029765,OFFRE_010804_2b409e399f87,TECHNICIEN QUOTIDIEN - UPSTREAM,0.425,0.4707,0.4397,0.0,vivier_a_developper,19,8,11,0.425,0,0.3113831019495702,8,True
PPPNR2505260029765,OFFRE_009564_740ed37a0638,Inspecteur / Formateur Mécanique Levage (Grues Offshore) H/F - Douala,0.5,0.4599,0.436,0.0,vivier_a_developper,21,9,12,0.5,1,0.30423855658935056,9,True
PPPNR2505260029765,OFFRE_010187_5d33db84a664,AGENT DE SUIVI TRANSIT & DOUANE,0.25,0.4554,0.4344,0.0,vivier_a_developper,24,10,14,0.25,0,0.30126166268925914,10,True
PPBZV2504170026237,OFFRE_011598_ce03b6843f03,Electricien,0.45,0.5639,0.6824,1.0,postuler_avec_plan_de_montee_en_competence,3,1,2,0.45,1,0.7115059044822444,1,True
PPBZV2504170026237,OFFRE_012066_a2057089f795,Electricien,0.45,0.5626,0.6819,1.0,postuler_avec_plan_de_montee_en_competence,4,2,2,0.45,1,0.7106459129111069,2,True
PPBZV2504170026237,OFFRE_013273_cd421b380440,Electricien,0.45,0.5099,0.6635,1.0,postuler_avec_plan_de_montee_en_competence,17,3,14,0.45,1,0.6757831776811465,3,True
PPBZV2504170026237,OFFRE_013297_e46e60b623dc,Electricien,0.45,0.5099,0.6635,1.0,postuler_avec_plan_de_montee_en_competence,18,4,14,0.45,1,0.6757831776811465,4,True
PPBZV2504170026237,OFFRE_013296_58399b5ed524,Electricien,0.45,0.5099,0.6635,1.0,postuler_avec_plan_de_montee_en_competence,19,5,14,0.45,1,0.6757831776811465,5,True
PPBZV2504170026237,OFFRE_012046_887982157b68,Electricien,0.45,0.5086,0.663,1.0,postuler_avec_plan_de_montee_en_competence,20,6,14,0.45,1,0.674923186110009,6,True
PPBZV2504170026237,OFFRE_012159_7195a691db02,Electriciensenior,0.3375,0.4867,0.6553,1.0,postuler_avec_plan_de_montee_en_competence,23,7,16,0.3375,0,0.6604356357962304,7,True
PPBZV2504170026237,OFFRE_006042_55b842397684,ELECTRICIENS RESEAUX (H/F) CENTRE / YAOUNDE,0.225,0.5719,0.3852,0.0,hors_cible_actuel,1,8,-7,0.225,0,0.37833013810273886,8,True
PPBZV2504170026237,OFFRE_005988_197a8224f176,ENVIRONNEMENTALISTE,0.2625,0.5649,0.3827,0.0,hors_cible_actuel,2,9,-7,0.2625,0,0.37369941425815206,9,True
PPBZV2504170026237,OFFRE_005746_4b4f38e86815,Plusieurs Profils,0.225,0.5567,0.3798,0.0,hors_cible_actuel,5,10,-5,0.225,0,0.3682748520402076,10,True
PPPNR2507230036406,OFFRE_013366_2f2b278f93f2,Responsable Hse,0.2856,0.7521,0.7482,1.0,pret_a_postuler,1,1,0,0.2856,1,0.8360062227038486,1,True
PPPNR2507230036406,OFFRE_013365_343450be5683,Responsable Hse,0.2856,0.7521,0.7482,1.0,pret_a_postuler,2,2,0,0.2856,0,0.8360062227038486,2,True
PPPNR2507230036406,OFFRE_012622_8fd50d59c98a,Responsable Hse,0.2856,0.7156,0.7355,1.0,pret_a_postuler,3,3,0,0.2856,0,0.8118603055142177,3,True
PPPNR2507230036406,OFFRE_011721_2aca8122cfc0,Responsable Hse,0.2856,0.7123,0.7343,1.0,pret_a_postuler,4,4,0,0.2856,0,0.8096772499874839,4,True
PPPNR2507230036406,OFFRE_012371_1dfa6fe9096d,Technicien Hse,0.2856,0.7023,0.7308,1.0,pret_a_postuler,5,5,0,0.2856,0,0.8030619302095028,5,True
PPPNR2507230036406,OFFRE_011732_c7fd6cb2b767,Hse,0.2856,0.702,0.7307,1.0,pret_a_postuler,6,6,0,0.2856,0,0.8028634706161633,6,True
PPPNR2507230036406,OFFRE_013346_bbed98f28163,Technicien Hse,0.2856,0.6876,0.7257,1.0,pret_a_postuler,7,7,0,0.2856,0,0.7933374101358706,7,True
PPPNR2507230036406,OFFRE_013538_6d6a14cfea79,Superintendant Hse,0.2856,0.6874,0.7256,1.0,pret_a_postuler,8,8,0,0.2856,0,0.793205103740311,8,True
PPPNR2507230036406,OFFRE_012067_c4c9d3099c87,Hse,0.2856,0.6845,0.7246,1.0,pret_a_postuler,9,9,0,0.2856,0,0.7912866610046965,9,True
PPPNR2507230036406,OFFRE_012592_aae483f4bea9,Responsable Hse,0.2856,0.6779,0.7223,1.0,pret_a_postuler,10,10,0,0.2856,0,0.7869205499512288,10,True
PPPNR2512120055249,OFFRE_009292_cdf026f5ad2e,ASSISTANT JURIDIQUE (TELECOM & RÉSEAU),0.3625,0.5022,0.4508,0.0,vivier_a_developper,2,1,1,0.3625,0,0.3322213592502106,1,True
PPPNR2512120055249,OFFRE_004076_cda041817776,10 Juristes Stagiaires,0.5125,0.4919,0.4472,0.0,vivier_a_developper,5,2,3,0.5125,1,0.3254075798788901,2,True
PPPNR2512120055249,OFFRE_009820_cb2cc73448e8,Chargé de Partenariat H/F,0.25,0.4888,0.4461,0.0,vivier_a_developper,6,3,3,0.25,0,0.323356830747716,3,True
PPPNR2512120055249,OFFRE_010428_894d68cf96fe,Assistant Administrateur Contrats,0.475,0.4764,0.4417,0.0,vivier_a_developper,9,4,5,0.475,1,0.3151538342230194,4,True
PPPNR2512120055249,OFFRE_008572_2dff6daa3773,ASSISTANT(E) DE DIRECTION CHARGE(E) DES RESSOURCES HUMAINES - Douala,0.3625,0.4703,0.4396,0.0,vivier_a_developper,10,5,5,0.3625,0,0.3111184891584509,5,True
PPPNR2512120055249,OFFRE_008431_bb20064e7d80,Assistant Principal De Réinstallation,0.5125,0.4682,0.4389,0.0,vivier_a_developper,11,6,5,0.5125,1,0.3097292720050749,6,True
PPPNR2512120055249,OFFRE_010565_1880a3bc05c1,Charge(e) Ressources Humaines,0.25,0.461,0.4364,0.0,vivier_a_developper,12,7,5,0.25,0,0.30496624176492854,7,True
PPPNR2512120055249,OFFRE_007551_7d88f5f42f41,Agents De Recouvrement,0.3625,0.4538,0.4338,0.0,vivier_a_developper,17,8,9,0.3625,0,0.30020321152478213,8,True
PPPNR2512120055249,OFFRE_003894_fda9e90fe742,Agents De Recouvrement,0.3625,0.4538,0.4338,0.0,vivier_a_developper,18,9,9,0.3625,0,0.30020321152478213,9,True
PPPNR2512120055249,OFFRE_010517_6b9de8866713,CONTRACT ADMINISTRATION SPECIALIST H/F,0.475,0.4504,0.4326,0.0,vivier_a_developper,20,10,10,0.475,1,0.29795400280026857,10,True
PPPNR2509150042862,OFFRE_011813_124c5692fa7f,Pompiste,0.4339,0.5632,0.6821,1.0,postuler_avec_plan_de_montee_en_competence,1,1,0,0.4339,0,0.7110428320977857,1,True
PPPNR2509150042862,OFFRE_013122_4747f84f58ff,Pompiste,0.4339,0.5335,0.6717,1.0,postuler_avec_plan_de_montee_en_competence,2,2,0,0.4339,0,0.6913953323571819,2,True
PPPNR2509150042862,OFFRE_012387_6dbb24e016d5,Pompiste,0.4339,0.5095,0.6633,1.0,postuler_avec_plan_de_montee_en_competence,3,3,0,0.4339,0,0.6755185648900273,3,True
PPPNR2509150042862,OFFRE_013111_914462a92568,Sapeur-Pompier,0.3696,0.4064,0.6272,1.0,postuler_avec_plan_de_montee_en_competence,5,4,1,0.3696,0,0.6073146179790421,4,True
PPPNR2509150042862,OFFRE_010172_087bcd5f7350,formation et placement du personnel,0.5179,0.3307,0.3907,0.0,hors_cible_actuel,9,5,4,0.5179,1,0.21876862505783484,7,True
PPPNR2509150042862,OFFRE_009545_ec3889805e5e,Serveur(e),0.4536,0.309,0.3832,0.0,hors_cible_actuel,17,6,11,0.4536,1,0.20441338113961585,8,True
PPPNR2509150042862,OFFRE_010307_b39a6391033f,Commercial (H/F),0.4536,0.3053,0.3819,0.0,hors_cible_actuel,18,7,11,0.4536,1,0.20196571282176287,9,True
PPPNR2509150042862,OFFRE_009772_181fb0783750,Gérant des Points de Vente H/F,0.5179,0.2931,0.3776,0.0,hors_cible_actuel,26,8,18,0.5179,1,0.19389502269262593,10,True
PPPNR2509150042862,OFFRE_010200_e9303f5ac58e,Cuisinier / Cuisinière,0.175,0.3409,0.3383,0.0,hors_cible_actuel,7,9,-2,0.175,0,0.22551625123137553,6,True
PPPNR2509150042862,OFFRE_012644_9eb128aeb6ae,Pompiste,0.1768,0.4124,0.3293,0.0,hors_cible_actuel,4,10,-6,0.1768,0,0.2728157876439404,5,True
PPPNR2512010053167,OFFRE_008944_d92237d635a7,Directeur d'Exploitation,0.55,0.6934,0.7316,0.833,pret_a_postuler,1,1,0,0.55,1,0.7406501358993839,1,True
PPPNR2512010053167,OFFRE_009810_9d66ee6abee2,Superviseur Logistique H/F,0.55,0.6637,0.7212,0.833,pret_a_postuler,2,2,0,0.55,1,0.72100263615878,2,True
PPPNR2512010053167,OFFRE_009786_6e54981be4b2,Responsable Achats (H/F),0.55,0.6139,0.7038,0.833,postuler_avec_plan_de_montee_en_competence,4,3,1,0.55,1,0.6880583436644341,3,True
PPPNR2512010053167,OFFRE_009787_b27983396ebf,"Gestionnaire de Transport , APM Terminals - Douala",0.55,0.61,0.7024,0.833,postuler_avec_plan_de_montee_en_competence,5,4,1,0.55,1,0.6854783689510215,4,True
PPPNR2512010053167,OFFRE_009586_ea1dca344841,SUPPLY CHAIN EXECUTIVE - Douala,0.55,0.5486,0.6809,0.833,postuler_avec_plan_de_montee_en_competence,6,5,1,0.55,1,0.6448603055142176,5,True
PPPNR2512010053167,OFFRE_009344_a23e28255d01,RESPONSABLE DES ACHATS ET DE LA LOGISTIQUE (F/H),0.6062,0.5336,0.6757,0.833,postuler_avec_plan_de_montee_en_competence,7,6,1,0.6062,1,0.6349373258472459,6,True
PPPNR2512010053167,OFFRE_009273_568f1b7c3651,Supply Chain Manager,0.55,0.5037,0.6652,0.833,postuler_avec_plan_de_montee_en_competence,9,7,2,0.55,1,0.6151575197110826,7,True
PPPNR2512010053167,OFFRE_009752_dc3cb15ef2a5,Responsable Logistique H/F,0.4938,0.4595,0.6497,0.833,postuler_avec_plan_de_montee_en_competence,15,8,7,0.4938,0,0.585917806292406,8,True
PPPNR2512010053167,OFFRE_010683_d702aaf8bb84,RESPONSABLE ACHATS CAMEROUN,0.4375,0.4511,0.6468,0.833,postuler_avec_plan_de_montee_en_competence,16,9,7,0.4375,0,0.5803609376789018,9,True
PPPNR2512010053167,OFFRE_009208_f2dc8deb0a0e,Gestionnaire des Stocks,0.4375,0.4489,0.646,0.833,postuler_avec_plan_de_montee_en_competence,18,10,8,0.4375,0,0.5789055673277461,10,True
PPBZV2502200020862,OFFRE_012425_7a4543d804a1,Chauffeur,0.5625,0.5939,0.6929,1.0,postuler_avec_plan_de_montee_en_competence,1,1,0,0.5625,1,0.7313518638161878,1,True
PPBZV2502200020862,OFFRE_013050_95dc2385ce7f,Chauffeur,0.5625,0.5783,0.6874,1.0,postuler_avec_plan_de_montee_en_competence,2,2,0,0.5625,1,0.7210319649625372,2,True
PPBZV2502200020862,OFFRE_011867_ebfce01c048d,Chauffeur,0.5625,0.5693,0.6843,1.0,postuler_avec_plan_de_montee_en_competence,3,3,0,0.5625,1,0.7150781771623542,3,True
PPBZV2502200020862,OFFRE_012223_a77cb6e9867c,Stagiaire Chauffeur,0.5625,0.5623,0.6818,1.0,postuler_avec_plan_de_montee_en_competence,4,4,0,0.5625,1,0.7104474533177674,4,True
PPBZV2502200020862,OFFRE_011624_be41bc98f8b3,Chauffeur Kavaki,0.5625,0.5508,0.6778,1.0,postuler_avec_plan_de_montee_en_competence,5,5,0,0.5625,1,0.7028398355730892,5,True
PPBZV2502200020862,OFFRE_012209_56c86b9f1126,Chauffeur Coursier,0.5625,0.5487,0.677,1.0,postuler_avec_plan_de_montee_en_competence,6,6,0,0.5625,1,0.7014506184197131,6,True
PPBZV2502200020862,OFFRE_012078_a08d8554ded1,Chauffeur,0.5625,0.5421,0.6747,1.0,postuler_avec_plan_de_montee_en_competence,8,7,1,0.5625,1,0.6970845073662457,7,True
PPBZV2502200020862,OFFRE_012718_ba1cb930e0b7,Chauffeur,0.5625,0.54,0.674,1.0,postuler_avec_plan_de_montee_en_competence,9,8,1,0.5625,1,0.6956952902128697,8,True
PPBZV2502200020862,OFFRE_012273_6f1cd14e1f77,Chauffeur Kavaki,0.5625,0.54,0.674,1.0,postuler_avec_plan_de_montee_en_competence,10,9,1,0.5625,1,0.6956952902128697,9,True
PPBZV2502200020862,OFFRE_012279_12d4d8c2dc6f,Chauffeur Kavaki,0.5625,0.54,0.674,1.0,postuler_avec_plan_de_montee_en_competence,11,10,1,0.5625,1,0.6956952902128697,10,True
PPBZV2503050022020,OFFRE_012441_c43131a7c9c4,Auditeur Interne,0.6225,0.6888,0.7261,1.0,pret_a_postuler,1,1,0,0.6225,1,0.7941312485092282,1,True
PPBZV2503050022020,OFFRE_012376_a2c7e7ea65f0,Auditeur Interne,0.6225,0.6719,0.7202,1.0,pret_a_postuler,2,2,0,0.6225,1,0.7829513580844403,2,True
PPBZV2503050022020,OFFRE_011917_e97982530113,Auditeur Interne,0.6225,0.6565,0.7148,1.0,postuler_avec_plan_de_montee_en_competence,3,3,0,0.6225,1,0.7727637656263493,3,True
PPBZV2503050022020,OFFRE_012311_05512fa2b615,Assistant Audit Interne,0.4982,0.6097,0.6984,1.0,postuler_avec_plan_de_montee_en_competence,7,4,3,0.4982,0,0.7418040690653979,4,True
PPBZV2503050022020,OFFRE_012119_e6ca4253d740,Auditeur Senior,0.5582,0.5608,0.6813,1.0,postuler_avec_plan_de_montee_en_competence,26,5,21,0.5582,0,0.7094551553510702,5,True
PPBZV2503050022020,OFFRE_011482_e201470fd8be,Auditeur Seniors,0.5582,0.5567,0.6798,1.0,postuler_avec_plan_de_montee_en_competence,28,6,22,0.5582,0,0.706742874242098,7,True
PPBZV2503050022020,OFFRE_010720_dccdb9dd289d,SENIOR ANALYST – INTERNAL CONTROLS H/F,0.4296,0.6431,0.624,0.833,postuler_avec_plan_de_montee_en_competence,4,7,-3,0.4296,0,0.7073750774161389,6,True
PPBZV2503050022020,OFFRE_010721_9548bc701abf,SENIOR ANALYST – INTERNAL CONTROLS H/F,0.4296,0.6218,0.6165,0.833,postuler_avec_plan_de_montee_en_competence,6,8,-2,0.4296,0,0.6932844462890393,9,True
PPBZV2503050022020,OFFRE_008947_1e6728066156,RESPONSABLE AUDIT INTERNE CONGO FMCG F/H RDC,0.4171,0.6277,0.5986,0.833,postuler_avec_plan_de_montee_en_competence,5,9,-4,0.4171,0,0.6971874849580482,8,True
PPBZV2503050022020,OFFRE_009453_362b1b29c47f,Financial and Accounting Audit Manager,0.3529,0.5586,0.5744,0.833,postuler_avec_plan_de_montee_en_competence,27,10,17,0.3529,0,0.6514756252921987,10,True
PPPNR2505080027747,OFFRE_010565_1880a3bc05c1,Charge(e) Ressources Humaines,0.475,0.6142,0.49,0.0,vivier_a_developper,1,1,0,0.475,1,0.40631294076359886,1,True
PPPNR2505080027747,OFFRE_008572_2dff6daa3773,ASSISTANT(E) DE DIRECTION CHARGE(E) DES RESSOURCES HUMAINES - Douala,0.475,0.4886,0.446,0.0,vivier_a_developper,2,2,0,0.475,1,0.3232245243521563,2,True
PPPNR2505080027747,OFFRE_010843_2cb6eb9483fa,Assistant Administratif et Commercial H/F,0.475,0.4654,0.4379,0.0,vivier_a_developper,3,3,0,0.475,1,0.30787698246724016,3,True
PPPNR2505080027747,OFFRE_009382_4a8a3bb975a9,ASSISTANT DÉPARTEMENT TECHNIQUE,0.325,0.4639,0.4374,0.0,vivier_a_developper,4,4,0,0.325,0,0.306884684500543,4,True
PPPNR2505080027747,OFFRE_009567_04fedb1e14a6,Superviseur Mobilisation Communautaire,0.25,0.4456,0.431,0.0,vivier_a_developper,5,5,0,0.25,0,0.2947786493068376,5,True
PPPNR2505080027747,OFFRE_009503_5e4991291bb3,Assistant Administratif des Ressources Humaines,0.4,0.443,0.43,0.0,vivier_a_developper,6,6,0,0.4,0,0.29305866616456255,6,True
PPPNR2505080027747,OFFRE_008922_590558b78baf,SUPERVISEUR SAME,0.25,0.4373,0.4281,0.0,vivier_a_developper,7,7,0,0.25,0,0.28928793389111335,7,True
PPPNR2505080027747,OFFRE_008556_c0476e1e9342,"FORMATEUR DANS LES MÉTIERS DE GESTION, TIC & MULTIMÉDIAS - Yaoundé",0.325,0.4301,0.4255,0.0,vivier_a_developper,9,8,1,0.325,0,0.28452490365096694,8,True
PPPNR2505080027747,OFFRE_010465_e304d9eb1b08,Responsable Commercial Showroom (H/F),0.25,0.4209,0.4223,0.0,vivier_a_developper,11,9,2,0.25,0,0.2784388094552243,9,True
PPPNR2505080027747,OFFRE_009775_0a881e5a753d,Coordinateur Régional,0.25,0.4071,0.4175,0.0,hors_cible_actuel,13,10,3,0.25,0,0.2693096681616104,10,True
PPPNR2501240018244,OFFRE_012227_9e47622fd4c9,Chauffeur Poids Lourds,0.525,0.7128,0.7345,1.0,pret_a_postuler,1,1,0,0.525,1,0.810008015976383,1,True
PPPNR2501240018244,OFFRE_013390_6f11c6573d83,Chauffeur Poids Lourds,0.525,0.7004,0.7301,1.0,pret_a_postuler,2,2,0,0.525,1,0.8018050194516864,2,True
PPPNR2501240018244,OFFRE_012144_7451e8958350,Chauffeur Poids Lourds,0.525,0.7001,0.73,1.0,pret_a_postuler,3,3,0,0.525,1,0.8016065598583468,3,True
PPPNR2501240018244,OFFRE_013281_79ceaad108f5,Chauffeur Poids Lourds,0.525,0.6925,0.7274,1.0,pret_a_postuler,4,4,0,0.525,1,0.7965789168270814,4,True
PPPNR2501240018244,OFFRE_013271_c0754c337e0e,Chauffeur Poids Lourds,0.525,0.6925,0.7274,1.0,pret_a_postuler,5,5,0,0.525,1,0.7965789168270814,5,True
PPPNR2501240018244,OFFRE_013294_e8f73433c3e8,Chauffeur Poids Lourds,0.525,0.6925,0.7274,1.0,pret_a_postuler,6,6,0,0.525,1,0.7965789168270814,6,True
PPPNR2501240018244,OFFRE_011888_b97fc039daae,Chauffeur Poids Lourds,0.525,0.6911,0.7269,1.0,pret_a_postuler,7,7,0,0.525,1,0.795652772058164,7,True
PPPNR2501240018244,OFFRE_011579_883b2cf7853b,Chauffeur Poids Lourds,0.525,0.691,0.7268,1.0,pret_a_postuler,8,8,0,0.525,1,0.7955866188603842,8,True
PPPNR2501240018244,OFFRE_013234_713cfd8b98f9,Cauffeurs Poids Lourds,0.3937,0.6173,0.7011,1.0,postuler_avec_plan_de_montee_en_competence,9,9,0,0.3937,0,0.7468317120966634,9,True
PPPNR2501240018244,OFFRE_013179_f0ba446f42c1,Chauffeur Poids Lourds Mécanicien,0.525,0.6115,0.699,1.0,postuler_avec_plan_de_montee_en_competence,10,10,0,0.525,1,0.7429948266254345,10,True
PPPNR2503120022692,OFFRE_012259_dd7e0fba3455,Responsable Ligne Horizontale,0.3696,0.3949,0.6232,1.0,postuler_avec_plan_de_montee_en_competence,1,1,0,0.3696,0,0.5997070002343639,1,True
PPPNR2503120022692,OFFRE_012186_90b72fcbb2d7,Pointeur Dans Le Magasin,0.3054,0.3658,0.613,1.0,postuler_avec_plan_de_montee_en_competence,5,2,3,0.3054,0,0.5804564196804389,2,True
PPPNR2503120022692,OFFRE_012750_6717a018290f,Operateur,0.3696,0.31,0.5935,1.0,postuler_avec_plan_de_montee_en_competence,17,3,14,0.3696,0,0.5435429353193044,3,True
PPPNR2503120022692,OFFRE_012824_a0ae7931670b,Operateur,0.3696,0.3098,0.5934,1.0,postuler_avec_plan_de_montee_en_competence,18,4,14,0.3696,0,0.5434106289237448,4,True
PPPNR2503120022692,OFFRE_008988_cc71fdf69ae1,DIRECTEUR GÉNÉRAL OCÉAN INDIEN,0.3143,0.3776,0.4072,0.0,hors_cible_actuel,3,5,-2,0.3143,0,0.24979447481656616,5,True
PPPNR2503120022692,OFFRE_010257_8711a817df5c,Responsable Production / Technique,0.4786,0.3353,0.3924,0.0,hors_cible_actuel,6,6,0,0.4786,1,0.22181167215570613,6,True
PPPNR2503120022692,OFFRE_009577_e11a2bf78a45,Assistant Production Operator,0.5429,0.3296,0.3904,0.0,hors_cible_actuel,9,7,2,0.5429,1,0.21804093988225692,7,True
PPPNR2503120022692,OFFRE_009575_00fbcfef84ab,Assistant Production Operator,0.5429,0.3296,0.3904,0.0,hors_cible_actuel,10,8,2,0.5429,1,0.21804093988225692,8,True
PPPNR2503120022692,OFFRE_009814_fe8589e0e32f,TECHNICIEN POIDS LOURD POUR CONCESSIONNAIRE AUTOMOBILE,0.4786,0.3109,0.3838,0.0,hors_cible_actuel,15,9,6,0.4786,1,0.20567029189743227,9,True
PPPNR2503120022692,OFFRE_010441_dbb0921be001,Responsable Production / Technique Bois - Nouakchott Mauritanie,0.3143,0.3089,0.3831,0.0,hors_cible_actuel,19,10,9,0.3143,0,0.20434722794183605,10,True
PPBZV2510080046865,OFFRE_012425_7a4543d804a1,Chauffeur,0.6375,0.5841,0.6894,1.0,postuler_avec_plan_de_montee_en_competence,1,1,0,0.6375,1,0.7248688504337661,1,True
PPBZV2510080046865,OFFRE_013050_95dc2385ce7f,Chauffeur,0.6375,0.5779,0.6873,1.0,postuler_avec_plan_de_montee_en_competence,2,2,0,0.6375,1,0.720767352171418,2,True
PPBZV2510080046865,OFFRE_011867_ebfce01c048d,Chauffeur,0.6375,0.5591,0.6807,1.0,postuler_avec_plan_de_montee_en_competence,4,3,1,0.6375,1,0.7083305509888136,3,True
PPBZV2510080046865,OFFRE_012085_0e48c4d2ea1b,Chauffeur,0.6375,0.5552,0.6793,1.0,postuler_avec_plan_de_montee_en_competence,5,4,1,0.6375,1,0.7057505762754008,4,True
PPBZV2510080046865,OFFRE_012718_ba1cb930e0b7,Chauffeur,0.6375,0.5545,0.6791,1.0,postuler_avec_plan_de_montee_en_competence,6,5,1,0.6375,1,0.7052875038909422,5,True
PPBZV2510080046865,OFFRE_011624_be41bc98f8b3,Chauffeur Kavaki,0.6375,0.5532,0.6786,1.0,postuler_avec_plan_de_montee_en_competence,7,6,1,0.6375,1,0.7044275123198047,6,True
